,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
4093,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-16T05:48:21+00:00,bu-no-further-action,A no further action disposal,51.518462,-0.093845,Person search,White,Controlled drugs
4094,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-16T05:55:02+00:00,bu-no-further-action,A no further action disposal,51.518462,-0.093845,Person search,White,Controlled drugs
4095,Arrest,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,2020-07-22T09:05:18+00:00,bu-arrest,Arrest,51.515606,-0.09409400000000001,Person and Vehicle search,Black,Stolen goods
4096,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-22T09:36:34+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,White,Stolen goods
4097,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2020-07-27T06:17:57+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,White,Stolen goods
4098,A no further action disposal,25-34,White - Any other White background,Male,2020-07-27T06:22:04+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,Other,Article for use in theft
4099,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2020-07-27T06:22:47+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,White,Stolen goods
4100,A no further action disposal,10-17,Asian/Asian British - Bangladeshi,Male,2020-07-31T01:09:38+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person search,Asian,Controlled drugs
4101,Khat or Cannabis warning,18-24,Other ethnic group - Not stated,Male,2020-07-16T03:11:17+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.518462,-0.093845,Person search,White,Controlled drugs
4102,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-16T03:15:54+00:00,bu-no-further-action,A no further action disposal,51.518462,-0.093845,Person search,White,Controlled drugs
4103,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-16T05:48:21+00:00,bu-no-further-action,A no further action disposal,51.518462,-0.093845,Person search,White,Controlled drugs
4104,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-16T05:55:02+00:00,bu-no-further-action,A no further action disposal,51.518462,-0.093845,Person search,White,Controlled drugs
4105,Arrest,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,2020-07-22T09:05:18+00:00,bu-arrest,Arrest,51.515606,-0.09409400000000001,Person and Vehicle search,Black,Stolen goods
